Date,Time,Open,High,Low,Close
2021/12/3,11:30:00,17717,17730,17707,17729
2021/12/3,11:45:00,17729,17745,17725,17731
2021/12/3,12:00:00,17732,17739,17714,17723
2021/12/3,12:15:00,17723,17731,17710,17713
2021/12/3,12:30:00,17712,17734,17706,17734
2021/12/3,12:45:00,17735,17735,17708,17710
2021/12/3,13:00:00,17710,17718,17701,17712
2021/12/3,13:15:00,17713,17734,17706,17708
2021/12/3,13:30:00,17707,17714,17702,17706
2021/12/6,08:45:00,17619,17624,17570,17601
2021/12/6,09:00:00,17601,17613,17527,17580
2021/12/6,09:15:00,17579,17628,17543,17624
2021/12/6,09:30:00,17623,17643,17594,17632
2021/12/6,09:45:00,17633,17660,17627,17637
2021/12/6,10:00:00,17638,17657,17628,17656
2021/12/6,10:15:00,17656,17696,17654,17682
2021/12/6,10:30:00,17684,17687,17666,17687
2021/12/6,10:45:00,17687,17695,17675,17677
2021/12/6,11:00:00,17677,17716,17677,17713
2021/12/6,11:15:00,17715,17720,17703,17706
2021/12/6,11:30:00,17707,17712,17697,17710
2021/12/6,11:45:00,17710,17725,17670,17723
2021/12/6,12:00:00,17723,17736,17703,17703
2021/12/6,12:15:00,17703,17713,17696,17705
2021/12/6,12:30:00,17706,17710,17693,17698
2021/12/6,12:45:00,17699,17707,17683,17686
2021/12/6,13:00:00,17688,17699,17675,17683
2021/12/6,13:15:00,17685,17698,17676,17678
2021/12/6,13:30:00,17677,17698,17673,17693
2021/12/7,08:45:00,17677,17694,17662,17676
2021/12/7,09:00:00,17678,17697,17666,17666
2021/12/7,09:15:00,17667,17672,17633,17644
2021/12/7,09:30:00,17642,17649,17586,17632
2021/12/7,09:45:00,17632,17647,17621,17627
2021/12/7,10:00:00,17627,17631,17602,17606
2021/12/7,10:15:00,17606,17639,17598,17631
2021/12/7,10:30:00,17631,17632,17606,17628
2021/12/7,10:45:00,17628,17638,17606,17624
2021/12/7,11:00:00,17625,17656,17624,17652
2021/12/7,11:15:00,17650,17655,17633,17634
2021/12/7,11:30:00,17634,17650,17633,17643
2021/12/7,11:45:00,17643,17653,17638,17651
2021/12/7,12:00:00,17651,17678,17649,17677
2021/12/7,12:15:00,17676,17677,17662,17671
2021/12/7,12:30:00,17670,17689,17669,17685
2021/12/7,12:45:00,17685,17692,17673,17678
2021/12/7,13:00:00,17678,17730,17668,17730
2021/12/7,13:15:00,17730,17774,17726,17774
2021/12/7,13:30:00,17774,17799,17769,17795
2021/12/8,08:45:00,17945,17977,17931,17970
2021/12/8,09:00:00,17969,17974,17933,17960
2021/12/8,09:15:00,17959,17988,17940,17980
2021/12/8,09:30:00,17978,17984,17946,17951
2021/12/8,09:45:00,17952,17958,17906,17915
2021/12/8,10:00:00,17914,17932,17902,17923
2021/12/8,10:15:00,17921,17942,17916,17935
2021/12/8,10:30:00,17936,17937,17915,17919
2021/12/8,10:45:00,17920,17939,17915,17931
2021/12/8,11:00:00,17931,17934,17908,17924
2021/12/8,11:15:00,17923,17926,17910,17916
2021/12/8,11:30:00,17916,17921,17870,17872
